,vacancy_link,vacancy_text,vacancy_company,vacancy_place,salary_from,salary_to,website
0,https://www.superjob.ru/vakansii/pomoschnik-programmista-1s-31315035.html,Помощник программиста 1С,Бизнес Технолоджи,проспект,17400.0,170000.0,www.superjob.ru
1,https://www.superjob.ru/vakansii/programmist-1s-28454214.html,Программист 1С (Специалист по автоматизации бухучета),Русская Аграрная Группа,Рязань,,,www.superjob.ru
2,https://www.superjob.ru/vakansii/veduschij-programmist-php-32775418.html,Ведущий программист PHP,Самсон-опт,Воронеж,120000.0,,www.superjob.ru
3,https://www.superjob.ru/vakansii/programmist-3-ej-kategorii-29699029.html,"Программист 3 ей категории, программист ABAP, разработчик SAP","Иркутский филиал №2 ООО ""ОЦРВ""",Иркутск,40000.0,60000.0,www.superjob.ru
4,https://www.superjob.ru/vakansii/veduschij-programmist-1s-31158145.html,Ведущий программист 1С,"Тамерлан Сеть универсамов ""Покупочка""",Волгоград,90000.0,102000.0,www.superjob.ru
5,https://www.superjob.ru/vakansii/programmist-1s-32034539.html,Программист 1С,Сады Придонья,Волгоград,38700.0,48300.0,www.superjob.ru
6,https://www.superjob.ru/vakansii/programmist-1s-32451315.html,Программист 1С,,Саратов,,,www.superjob.ru
7,https://www.superjob.ru/vakansii/inzhener-programmist-asu-tp-32636943.html,Инженер-программист АСУ ТП,"Судостроительный комплекс ""Звезда""",Красноярск,52000.0,,www.superjob.ru
8,https://www.superjob.ru/vakansii/tehnik-programmist-31939975.html,Техник-программист,Кадетская школа-интернат,Ханты-Мансийск,35000.0,,www.superjob.ru
9,https://www.superjob.ru/vakansii/programmist-1s-32465271.html,Программист 1С,Аграрная Группа - Управляющая компания,Томск,70000.0,90000.0,www.superjob.ru
10,https://www.superjob.ru/vakansii/programmist-1s-32774989.html,Программист 1С,Стаффмикс,"Санкт-Петербург,Обухово",115000.0,,www.superjob.ru
11,https://www.superjob.ru/vakansii/programmist-1s-32774970.html,Программист 1С,"""Компания ""Сухой""",Комсомольск-на-Амуре,50000.0,,www.superjob.ru
12,https://www.superjob.ru/vakansii/programmist-1s-26924619.html,Программист 1С,Уфимское хлебообъединение Восход,Уфа,,,www.superjob.ru
13,https://www.superjob.ru/vakansii/programmist-baz-dannyh-30541543.html,Программист баз данных,Мария-РА,Барнаул,70000.0,,www.superjob.ru
14,https://www.superjob.ru/vakansii/programmist-stazher-1s-32212163.html,Программист-стажер 1С,Асф,Иркутск,,,www.superjob.ru
15,https://www.superjob.ru/vakansii/programmist-1s-30362228.html,Программист 1С,,Иркутск,,,www.superjob.ru
16,https://www.superjob.ru/vakansii/veduschij-programmist-1s-32831454.html,Ведущий программист 1С,МУП Водоканал,Иркутск,,,www.superjob.ru
17,https://www.superjob.ru/vakansii/junior-java-programmist-32454181.html,Junior Java-программист,Управляющая компания Сиб-Транс-Петройл,Иркутск,35000.0,,www.superjob.ru
18,https://www.superjob.ru/vakansii/veduschij-inzhener-programmist-1s-32220742.html,Ведущий инженер-программист 1С,"Филиал ПАО ""Компания ""Сухой"" ""НАЗ им. В. П. Чкалова""",Новосибирск,70000.0,80000.0,www.superjob.ru
19,https://www.superjob.ru/vakansii/programmist-1s-v-lesopromyshlennuyu-kompaniyu-32567663.html,Программист 1С в лесопромышленную компанию,RFP Group,Комсомольск-на-Амуре,55000.0,,www.superjob.ru
20,https://www.superjob.ru/vakansii/programmist-31538302.html,Программист,Бизнес Альянс,Хабаровск,,,www.superjob.ru
21,https://www.superjob.ru/vakansii/veduschij-inzhener-programmist-1s-32676025.html,Ведущий инженер-программист 1С,Группа ННК,Владивосток,,,www.superjob.ru
22,https://www.superjob.ru/vakansii/programmist-1s-32539666.html,Программист 1С,,Ульяновск,90000.0,,www.superjob.ru
23,https://www.superjob.ru/vakansii/programmist-1s-32684000.html,Программист 1С,НоваДент,Волгоград,25000.0,40000.0,www.superjob.ru
