,vacancy_link,vacancy_text,vacancy_company,vacancy_place,salary_from,salary_to,website
0,https://www.superjob.ru/vakansii/programmist-python-32539725.html,Программист Python,,Ульяновск,,,www.superjob.ru
1,https://www.superjob.ru/vakansii/it-prepodavatel-32525888.html,IT преподаватель (Python / Web-дизайн),Хейфец О.О.,Южно-Сахалинск,20000.0,30000.0,www.superjob.ru
2,https://www.superjob.ru/vakansii/razrabotchik-python-32759255.html,Разработчик Python,Цифрасофт,Ижевск,,,www.superjob.ru
3,https://www.superjob.ru/vakansii/programmist-python-32660913.html,Программист Python,Кадровое решение СПб,Санкт-Петербург,,,www.superjob.ru
4,https://www.superjob.ru/vakansii/inzhener-razrabotchik-ggis-31852228.html,Инженер разработчик ГГИС (на Python),Руссдрагмет,Москва,,,www.superjob.ru
5,https://www.superjob.ru/vakansii/programmist-python-32671953.html,Программист Python (удалённо),Статус презенс,Москва,50000.0,,www.superjob.ru
6,https://www.superjob.ru/vakansii/programmist-na-python-31035766.html,Программист на python,НТИМИ,Москва,,,www.superjob.ru
7,https://www.superjob.ru/vakansii/inzhener-programmist-32707815.html,Инженер-программист,Новые Лазерные Технологии,Москва,100000.0,,www.superjob.ru
8,https://www.superjob.ru/vakansii/starshij-setevoj-inzhener-cod-32585824.html,Старший сетевой инженер ЦОД,Компания КОМПЛИТ,Беговая,85000.0,,www.superjob.ru
9,https://www.superjob.ru/vakansii/web-razrabotchik-32758100.html,Web-разработчик,,Ульяновск,30000.0,40000.0,www.superjob.ru
10,https://hh.ru/vacancy/33887758,Программист Python," ЭВРИКА, Санкт-Петербург","Москва, Калужская",80000.0,150000.0,www.hh.ru
11,https://hh.ru/vacancy/31844648,Junior Quantitative Researcher,ООО КВАНТПОРТРУС,Москва,250000.0,250000.0,www.hh.ru
12,https://hh.ru/vacancy/33789276,Data science, Тесуджи,Москва,200000.0,,www.hh.ru
13,https://hh.ru/vacancy/33876623,Junior Python разработчик, amoCRM,"Москва, Таганская",40000.0,,www.hh.ru
14,https://hh.ru/vacancy/30005963,Python developer, NetworkOptix,"Москва, Комсомольская и еще 1 ",4000.0,,www.hh.ru
15,https://hh.ru/vacancy/33787768,Backend python/Django разработчик,ООО БОЛЬШАЯ ТРОЙКА,"Москва, Бауманская",120000.0,200000.0,www.hh.ru
16,https://hh.ru/vacancy/34127262,Junior Python разработчик,ООО ВижнЛабс (VisionLabs),"Москва, Проспект Мира",,,www.hh.ru
17,https://hh.ru/vacancy/34068961,Computer vision data scientist," AROUND, Группа компаний",Москва,120000.0,140000.0,www.hh.ru
18,https://www.superjob.ru/vakansii/inzhener-programmist-30439894.html,"Инженер-программист, младший инженер-программист",Топаз-сервис,Волгодонск,45000.0,,www.superjob.ru
19,https://www.superjob.ru/vakansii/veduschij-programmist-asr-32755676.html,Ведущий программист АСР,,Ульяновск,,,www.superjob.ru
20,https://www.superjob.ru/vakansii/veduschij-sistemnyj-administrator-zabbix-32499870.html,Ведущий системный администратор Zabbix,Филиал ФКУ «Налог-Сервис» ФНС России по ЦОД в г. Москве,Москва,60000.0,,www.superjob.ru
21,https://www.superjob.ru/vakansii/testirovschik-32610770.html,Тестировщик,Директ Кредит,Москва,40000.0,50000.0,www.superjob.ru
22,https://www.superjob.ru/vakansii/razrabotchik-delphi-30126438.html,Разработчик Delphi,"НПП ""Энерготехника""",Пенза,45000.0,,www.superjob.ru
23,https://www.superjob.ru/vakansii/razrabotchik-php-stream-32702333.html,Разработчик PHP Stream,,Пермь,,,www.superjob.ru
24,https://www.superjob.ru/vakansii/inzhener-devops-stream-32702293.html,Инженер Devops Stream,,Пермь,,,www.superjob.ru
25,https://hh.ru/vacancy/33875623,Разработчик Python,ООО Кузница Кадров,Москва,,120000.0,www.hh.ru
26,https://hh.ru/vacancy/33416348,Python разработчик / Python software developer, Cindicator,Москва,,400000.0,www.hh.ru
27,https://hh.ru/vacancy/34145349,Python-разработчик/ Python Developer, BestDoctor,"Москва, Парк Победы и еще 2 ",,,www.hh.ru
28,https://hh.ru/vacancy/33787014,Data Analyst/Computer Vision Engineer,ООО СКАЙТРЭК,"Москва, Славянский бульвар",150000.0,,www.hh.ru
29,https://hh.ru/vacancy/33795095,Программист Python,ООО Твигл,"Москва, Серпуховская",,,www.hh.ru
30,https://hh.ru/vacancy/34220194,Python разработчик,ООО КРИПТОН,"Москва, Дмитровская",100000.0,140000.0,www.hh.ru
31,https://hh.ru/vacancy/34070637,Computer Vision / Data scientist CV,ООО АлгоМост,Москва,100000.0,200000.0,www.hh.ru
32,https://hh.ru/vacancy/33160373,Fullstack разработчик (python),ООО Сенсориум Корпорейшн Москва,Москва,180000.0,,www.hh.ru
33,https://hh.ru/vacancy/34061806,"Стажёр(Анализ данных,data science)",ООО САС Институт,Москва,,,www.hh.ru
34,https://hh.ru/vacancy/34236124,Backend Developer Python (Junior / Middle),ООО Технологии обработки данных,"Москва, Академическая и еще 1 ",60000.0,,www.hh.ru
35,https://hh.ru/vacancy/34120963,Разработчик Python, Асимметрик VFX (Asymmetric VFX Studio),Москва,90000.0,150000.0,www.hh.ru
36,https://hh.ru/vacancy/33965018,Junior Python Developer,ООО АКХ,"Москва, Партизанская и еще 1 ",30000.0,50000.0,www.hh.ru
37,https://hh.ru/vacancy/34106577,Data Engineering Team Lead (Python / C++), DataFork,"Москва, Площадь Революции и еще 1 ",300000.0,400000.0,www.hh.ru
38,https://hh.ru/vacancy/33307959,Python Developer / Разработчик Python, MOS.RU,"Москва, Марксистская и еще 2 ",,,www.hh.ru
39,https://hh.ru/vacancy/33310553,Junior machine learning engineer, Tech5,Москва,50000.0,130000.0,www.hh.ru
40,https://hh.ru/vacancy/34234394,Тестировщик ПО (ручное тестирование), Comagic,"Москва, Нахимовский проспект",115000.0,,www.hh.ru
41,https://hh.ru/vacancy/34225174,Python Developer SberDevices, Сбербанк для экспертов,"Москва, Кутузовская и еще 1 ",180000.0,,www.hh.ru
42,https://hh.ru/vacancy/31705088,Python/Go Developer,ООО Центр недвижимости от Сбербанка,"Москва, Кутузовская",,,www.hh.ru
43,https://hh.ru/vacancy/34149732,Python backend developer," AROUND, Группа компаний",Москва,120000.0,140000.0,www.hh.ru
44,https://hh.ru/vacancy/33867584,Ведущий python-разработчик, ASD Technologies,Москва,120000.0,,www.hh.ru
45,https://www.superjob.ru/vakansii/sistemnyj-administrator-linux-28895230.html,Системный администратор Linux,Самсон-опт,Воронеж,70000.0,,www.superjob.ru
46,https://www.superjob.ru/vakansii/mladshij-sistemnyj-administrator-linux-32235514.html,Младший системный администратор Linux,Самсон-опт,Воронеж,54000.0,,www.superjob.ru
47,https://www.superjob.ru/vakansii/programmist-32631881.html,Программист,Эс Класс Клиник,Воронеж,,,www.superjob.ru
48,https://www.superjob.ru/vakansii/gis-specialist-31522841.html,"ГИС-специалист, специалист по цифровой картографии геоинформации",ТехноТерра,станция,40000.0,,www.superjob.ru
49,https://www.superjob.ru/vakansii/programmist-3-ej-kategorii-29699029.html,"Программист 3 ей категории, программист ABAP, разработчик SAP","Иркутский филиал №2 ООО ""ОЦРВ""",Иркутск,40000.0,60000.0,www.superjob.ru
50,https://www.superjob.ru/vakansii/starshij-prepodavatel-27443666.html,Старший преподаватель,"Федеральное бюджетное учреждение, ВВУЗ",станция,45000.0,70000.0,www.superjob.ru
51,https://www.superjob.ru/vakansii/razrabotchik-v-otdel-tehnicheskih-sredstv-obucheniya-31739162.html,Разработчик в отдел технических средств обучения (C++ / Qt),"ПАО ""Компания ""Сухой""",Москва,60000.0,100000.0,www.superjob.ru
52,https://www.superjob.ru/vakansii/sistemnyj-administrator-31897795.html,Системный администратор (DevOPS),,Ульяновск,100000.0,,www.superjob.ru
53,https://www.superjob.ru/vakansii/sistemnyj-administrator-linux-32364160.html,Системный администратор Linux,"НПФ ""ХЕЛИКС""","Санкт-Петербург,Петроградская",,,www.superjob.ru
54,https://www.superjob.ru/vakansii/team-lead-developer-32839762.html,Team Lead Developer (PHP),,Санкт-Петербург,100000.0,,www.superjob.ru
55,https://www.superjob.ru/vakansii/glavnyj-specialist-otdela-soprovozhdeniya-informacionnyh-sistem-30239352.html,Главный специалист отдела сопровождения информационных систем / Системный инженер,"СПб ГКУ ""Городской мониторинговый центр""","Санкт-Петербург,Фрунзенская",47000.0,52000.0,www.superjob.ru
56,https://hh.ru/vacancy/34210548,Разработчик Python Backend, Web Interactive World,"Москва, Площадь Революции и еще 3 ",150000.0,,www.hh.ru
57,https://hh.ru/vacancy/34126001,Разработчик Python/Django (junior/middle), Zonesmart,"Москва, Павелецкая",50000.0,80000.0,www.hh.ru
58,https://hh.ru/vacancy/33953502,"Python developer, junior ML-engineer",ООО Целус Менеджмент,Москва,45000.0,80000.0,www.hh.ru
59,https://hh.ru/vacancy/32825845,Младший программист Python, QIWI,"Москва, Чертановская",,,www.hh.ru
60,https://hh.ru/vacancy/33818544,Senior Python server (backend) программист,ООО БАРАНСЕЛИ ФИНАНС,"Москва, Молодежная",150000.0,,www.hh.ru
61,https://hh.ru/vacancy/33956135,Python- разработчик,ООО Кузница Кадров,"Москва, Тимирязевская",,,www.hh.ru
62,https://hh.ru/vacancy/34041186,Программист Python, ИнПлат,"Москва, Менделеевская и еще 2 ",,,www.hh.ru
63,https://hh.ru/vacancy/34005432,Python developer, IVIDEON,"Москва, Менделеевская",160000.0,200000.0,www.hh.ru
64,https://hh.ru/vacancy/34198397,Программист Python," Insilico Medicine, Inc",Москва,100000.0,200000.0,www.hh.ru
65,https://hh.ru/vacancy/33947694,Machine learning engineer, Tech5,Москва,100000.0,200000.0,www.hh.ru
66,https://hh.ru/vacancy/33787682,Тестировщик программного обеспечения,ООО БОЛЬШАЯ ТРОЙКА,"Москва, Бауманская",60000.0,80000.0,www.hh.ru
67,https://hh.ru/vacancy/34191366,Инженер-программист (Python), ЭР-Телеком,"Москва, Динамо",80000.0,80000.0,www.hh.ru
68,https://hh.ru/vacancy/33895741,Python Web Developer, Soshace,Москва,200000.0,300000.0,www.hh.ru
69,https://hh.ru/vacancy/34139725,Data Scientist, GFAIVE,"Москва, Отрадное",150000.0,,www.hh.ru
70,https://hh.ru/vacancy/33549408,Разработчик Python,ООО Центр недвижимости от Сбербанка,"Москва, Кутузовская",,,www.hh.ru
71,https://hh.ru/vacancy/33833014,Программист Python," Смарт Текнолоджис,ООО",Москва,100000.0,120000.0,www.hh.ru
72,https://hh.ru/vacancy/34225710,Python – разработчик, СТС Медиа,"Москва, Динамо",,,www.hh.ru
73,https://hh.ru/vacancy/32753334,Преподаватель кружка программирования (Python), Алгоритмика,Москва,,,www.hh.ru
74,https://hh.ru/vacancy/33811537,Python developer, B2Broker Москва,"Москва, Деловой центр и еще 2 ",150000.0,200000.0,www.hh.ru
75,https://hh.ru/vacancy/33533245,Разработчик Python, Инфосистемы Джет,"Москва, Савеловская",,,www.hh.ru
76,https://www.superjob.ru/vakansii/veduschij-programmist-32680806.html,Ведущий программист (начальник отдела программистов / team lead),Индеструм,"Москва,Сходненская",,,www.superjob.ru
77,https://www.superjob.ru/vakansii/data-scientist-31128164.html,Data scientist,Компания КОМПЛИТ,Санкт-Петербург,,,www.superjob.ru
78,https://www.superjob.ru/vakansii/programmist-razrabotchik-32779566.html,Программист-разработчик,Промотрейд (Кадровая Служба 24),Самара,80000.0,,www.superjob.ru
79,https://www.superjob.ru/vakansii/programmist-kvestov-v-realnosti-32680907.html,Программист квестов в реальности (web / C++),Индеструм,"Москва,Сходненская",,,www.superjob.ru
80,https://www.superjob.ru/vakansii/senior-qa-engineer-32391200.html,Senior QA engineer,Фабрикант,Москва,,,www.superjob.ru
81,https://www.superjob.ru/vakansii/internet-marketolog-31799263.html,Интернет-маркетолог,Интеркросс,Рязань,,,www.superjob.ru
82,https://www.superjob.ru/vakansii/rekruter-32637116.html,Рекрутер / HR менеджер в IT,Igor Polyakov Consulting,Омск,9700.0,,www.superjob.ru
83,https://www.superjob.ru/vakansii/starshij-back-end-razrabotchik-32566666.html,Старший back-end разработчик,ВИЗАВИ Консалт,Вологда,150000.0,,www.superjob.ru
84,https://www.superjob.ru/vakansii/web-razrabotchik-react-32675674.html,Web-разработчик React,КРИТ,Ижевск,,,www.superjob.ru
85,https://www.superjob.ru/vakansii/sistemnyj-administrator-zabbix-32756464.html,Системный администратор Zabbix,ПРОГ МАСТЕР,Москва,50000.0,85000.0,www.superjob.ru
86,https://www.superjob.ru/vakansii/sistemnyj-arhitektor-32769133.html,Системный архитектор / Главный конструктор (разработка решений Industrial IoT),Компания КОМПЛИТ,Беговая,,,www.superjob.ru
87,https://www.superjob.ru/vakansii/inzhener-po-vnedreniyu-32702867.html,Инженер по внедрению,Промторг,Подольск,120000.0,,www.superjob.ru
88,https://www.superjob.ru/vakansii/pedagog-dopolnitelnogo-obrazovaniya-26930957.html,Педагог дополнительного образования (программирование),ГБОУ СОШ №619 Калининского района Санкт-Петербурга,Санкт-Петербург,,,www.superjob.ru
89,https://www.superjob.ru/vakansii/programmist-testirovschik-32425129.html,Программист-тестировщик,"""Концерн ""Автоматика"", АО ""БПО ""Прогресс""",Уфа,20000.0,,www.superjob.ru
90,https://www.superjob.ru/vakansii/fullstack-veb-razrabotchik-31834823.html,Fullstack веб-разработчик,Комэрф,Пенза,25000.0,,www.superjob.ru
91,https://www.superjob.ru/vakansii/ip-telephony-engineer-asterisk-32733979.html,IP Telephony Engineer Asterisk,Автотрейд,Иркутск,35000.0,45000.0,www.superjob.ru
92,https://www.superjob.ru/vakansii/sistemnyj-analitik-32663136.html,Системный аналитик / Ведущий системный администратор,СДН (SDN),Санкт-Петербург,60000.0,,www.superjob.ru
93,https://www.superjob.ru/vakansii/mladshij-nauchnyj-sotrudnik-32526032.html,Младший научный сотрудник,РЭУ им. Г. В. Плеханова,Москва,,,www.superjob.ru
94,https://www.superjob.ru/vakansii/senior-java-developer-32799497.html,Senior Java developer,Nexign («Петер-Сервис»),Спортивная,,,www.superjob.ru
95,https://www.superjob.ru/vakansii/programmist-razrabotchik-32713868.html,Программист-разработчик,РИК,Самара,60000.0,,www.superjob.ru
96,https://hh.ru/vacancy/33840192,Python Data Scientist, Web Interactive World,"Москва, Площадь Революции и еще 3 ",150000.0,,www.hh.ru
97,https://hh.ru/vacancy/33828496,Разработчик Python, Открытые Технологии,Москва,120000.0,150000.0,www.hh.ru
98,https://hh.ru/vacancy/33923247,Python Developer,ЗАО ОКБ,"Москва, Третьяковская и еще 2 ",,,www.hh.ru
99,https://hh.ru/vacancy/34004511,Разработчик Python, Ingate,Москва,95000.0,,www.hh.ru
100,https://hh.ru/vacancy/33725095,Junior python-разработчик, BR Lab,"Москва, Калужская",40000.0,80000.0,www.hh.ru
101,https://hh.ru/vacancy/34212894,Python Backend разработчик,ООО Декаст Инжиниринг,Москва,150000.0,,www.hh.ru
102,https://hh.ru/vacancy/33912680,Разработчик Python, Сбербанк для экспертов,Москва,,,www.hh.ru
103,https://hh.ru/vacancy/33842117,Методист-эксперт Python, Алгоритмика,Москва,130000.0,180000.0,www.hh.ru
104,https://hh.ru/vacancy/34030356,Программист Python,ООО НТБ,Москва,,,www.hh.ru
105,https://hh.ru/vacancy/34182123,Python developer, Antal Russia,Москва,150000.0,,www.hh.ru
106,https://hh.ru/vacancy/34143159,Machine Learning инженер,ООО Claire&Clarté,"Москва, Деловой центр и еще 1 ",,140000.0,www.hh.ru
107,https://hh.ru/vacancy/34143449,Старший Python-разработчик/ Senior Python Developer, BestDoctor,"Москва, Парк Победы и еще 2 ",,,www.hh.ru
108,https://hh.ru/vacancy/33917863,Python разработчик,ООО Профцентр СПЕЦИАЛИСТ,"Москва, Деловой центр и еще 2 ",,,www.hh.ru
109,https://hh.ru/vacancy/33709346,Back-end разработчик (стажер),ООО Мед-Аск,Москва,10000.0,10000.0,www.hh.ru
110,https://hh.ru/vacancy/34064851,Аналитик данных (Data Scientist),ООО Корвет Девелопмент,"Москва, Новохохловская",,,www.hh.ru
